0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.3792199075,0.3920642793,0.4113856673,-0.3369219303,-0.1776935011,-0.33888188,0.0725087732,0.3451906681,0.0685136959,-0.0940977797,-0.3126566529,0.2647967458,-0.2768233657,-0.1143549591,0.4313668311,-0.01432514,-0.3075988352,0.4027140439,-0.3743520617,0.0498410575,-0.1457022905,0.0511638373,0.2923797667,-0.3025019705,-0.1588161439,0.4287122488,0.4117409885,-0.0336367019
0.3601334751,0.3826562047,0.3882405162,-0.3317317665,-0.1952118665,-0.3238637745,0.060857816,0.3291483402,0.0786972433,-0.0726895332,-0.2975219369,0.2405816466,-0.2526897669,-0.1091859967,0.4258010566,-0.0225842388,-0.2907206476,0.370906055,-0.3501804531,0.0531522043,-0.1332685336,0.0426475585,0.2605717778,-0.2708614588,-0.146543923,0.4287122488,0.4005142391,-0.067243953
0.3419576585,0.3737688124,0.3676254988,-0.3273421884,-0.2129815102,-0.3080641925,0.0513030313,0.3147693396,0.0872390553,-0.0528783888,-0.2837176085,0.2165022045,-0.2318790644,-0.104172644,0.4211405694,-0.0302486826,-0.2756943822,0.3406633556,-0.3254551589,0.0557283424,-0.1229446933,0.037287759,0.2303290516,-0.2411356717,-0.1338728011,0.4287122488,0.3873494744,-0.1010173425
0.3228419125,0.364773196,0.3452405274,-0.3216394067,-0.2265496045,-0.2913306594,0.0409079872,0.2998059988,0.0969396338,-0.0327891611,-0.2693054855,0.1908660531,-0.2073076606,-0.0993872613,0.4140195906,-0.0378617682,-0.2619498849,0.3102628589,-0.301798147,0.0544472203,-0.111016497,0.0330133084,0.1999285579,-0.2112703681,-0.1205489799,0.4287122488,0.3745413542,-0.1349212319
0.3050137281,0.3549655735,0.3248087168,-0.3151642799,-0.2396804243,-0.2751925886,0.0322058022,0.2866580546,0.1046312362,-0.0138726501,-0.2544257313,0.1673620164,-0.1846352041,-0.0937787786,0.4067485452,-0.0469700947,-0.2453967392,0.2802139878,-0.278140825,0.0552272551,-0.1018126979,0.0281315744,0.1698797047,-0.1820220977,-0.1091778919,0.4287122488,0.3618520498,-0.1686821163
0.2882040679,0.3471920609,0.3030778706,-0.3075776041,-0.2521924257,-0.259834367,0.0235210296,0.2742273986,0.1122167975,0.0027648308,-0.2396220863,0.1436658114,-0.1637331486,-0.0893271059,0.3991996169,-0.0538404457,-0.2316559225,0.2505772263,-0.2541740239,0.0588355474,-0.0932418004,0.022951531,0.1402429968,-0.1534946799,-0.0957008585,0.4287122488,0.3480101883,-0.2023729801
0.270739001,0.3376399934,0.2814138591,-0.3008721948,-0.2637396038,-0.2436898142,0.0142349535,0.2638391376,0.1185070932,0.0192395424,-0.2255781531,0.1210072935,-0.1443365723,-0.0854243055,0.390167582,-0.0610033959,-0.2186462313,0.223525393,-0.2308525801,0.0598362297,-0.0861360222,0.019617586,0.1131911799,-0.1277095839,-0.0834847197,0.4287122488,0.3348001242,-0.2359903187
0.2543219805,0.3277662754,0.2611971259,-0.2913293302,-0.2724238634,-0.2268475175,0.0049935712,0.2511045367,0.125437367,0.0343083709,-0.2125967801,0.0987564832,-0.1254568219,-0.0808797553,0.380936116,-0.0674190655,-0.2041807562,0.1954875201,-0.2083519131,0.0616688229,-0.0804413274,0.0174961707,0.0851533189,-0.100615491,-0.0708804205,0.4287122488,0.3203564644,-0.2693569243
0.2371386796,0.3172012031,0.2414808184,-0.2822171986,-0.2800585389,-0.2118737251,-0.0038280506,0.2410270154,0.1305639565,0.0485229507,-0.2001947224,0.0787688464,-0.1083678186,-0.0776032001,0.372160846,-0.0734785363,-0.1920596033,0.169953689,-0.1854419589,0.0615166739,-0.0750323519,0.0157317955,0.0596195005,-0.0765001997,-0.0607893884,0.4287122488,0.3065968692,-0.3030278087
0.220840326,0.3073860526,0.2226761639,-0.2726461411,-0.2853692174,-0.1979217917,-0.0125571493,0.2309815884,0.1367060423,0.0612521663,-0.1891198635,0.0590943255,-0.0922860727,-0.0737046137,0.3606642067,-0.0787300408,-0.1809117407,0.1459712356,-0.1647478282,0.0625293322,-0.0704036824,0.0144830947,0.035637043,-0.0542164795,-0.0497879073,0.4287122488,0.2936181962,-0.3370301485
0.2049190789,0.298274833,0.2030479342,-0.2631932139,-0.2888338625,-0.1822523504,-0.0184683513,0.2214276344,0.1418929905,0.0722455457,-0.1783918023,0.0398987703,-0.0759567127,-0.0704858214,0.3491779745,-0.0826332569,-0.1691598177,0.1263243109,-0.1437737197,0.060719227,-0.0670768216,0.0144273607,0.0159901342,-0.0364694431,-0.0396812648,0.4287122488,0.2793309569,-0.3709215283
0.1902108043,0.2876184583,0.1864601403,-0.2536443442,-0.2885307848,-0.169161883,-0.0247347333,0.2144189715,0.1458894581,0.0817223713,-0.167483744,0.0223541696,-0.0616056606,-0.0684046745,0.3383814156,-0.0874710321,-0.1591225117,0.1078631982,-0.1226557165,0.0602984853,-0.0628402844,0.0135880008,-0.0024709866,-0.0206342015,-0.0302531261,0.4287122488,0.2676861048,-0.4045857131
0.1769222081,0.2781741738,0.1672960848,-0.244202593,-0.2875686049,-0.1552344233,-0.0296435609,0.2077323079,0.1488246173,0.091891849,-0.1587711185,0.0074367373,-0.049116648,-0.0664589114,0.3262502015,-0.0906610727,-0.1499935448,0.0909656912,-0.103320691,0.0590067297,-0.0578374431,0.013487898,-0.0193684855,-0.0065166213,-0.0222183654,0.4287122488,0.2561662674,-0.438267839
0.1632418662,0.2700496435,0.1491009653,-0.2341792017,-0.2850445867,-0.1414019346,-0.0357431009,0.2031958371,0.1506837815,0.1005105466,-0.1499903649,-0.0062028387,-0.0382772379,-0.0656234801,0.3145967066,-0.0937637955,-0.1418881059,0.0765123859,-0.0843849629,0.0578175202,-0.0550354525,0.0142525408,-0.0338217836,0.0050008569,-0.0144951018,0.4287122488,0.2454523891,-0.4718078077
0.1506737411,0.2593111753,0.1349755883,-0.2242074013,-0.281031841,-0.1300418437,-0.0401424311,0.1983617365,0.1526821554,0.1084184036,-0.1434806347,-0.0185394393,-0.030780264,-0.0635335922,0.3023005307,-0.0973534867,-0.1348464787,0.0658898473,-0.0672610641,0.0566153243,-0.0518876292,0.014737366,-0.0444443107,0.0128998491,-0.0086210612,0.4287122488,0.2343271196,-0.5057608843
0.1410873473,0.2504850149,0.1194143757,-0.2167319328,-0.2771098495,-0.118115811,-0.0435162447,0.1950826406,0.1539096445,0.1130929381,-0.1355529517,-0.0297938671,-0.0241363049,-0.061810188,0.2891097784,-0.099513799,-0.128353326,0.0566946395,-0.0486324757,0.0567039378,-0.0491324924,0.0146975107,-0.0536395103,0.0196009262,-0.0020689089,0.4287122488,0.2220331401,-0.539307034
0.1313306302,0.242334801,0.1041512638,-0.207330218,-0.2717216551,-0.1068708628,-0.0479323946,0.1920018971,0.1547500312,0.1197099328,-0.129038246,-0.0388993539,-0.0187584447,-0.0600596108,0.2775276959,-0.1024572611,-0.1217186898,0.0488391228,-0.0331781294,0.0558808729,-0.0463690553,0.0152399953,-0.061495018,0.0250026748,0.0020789101,0.4287122488,0.2124125093,-0.5729960918
0.121253857,0.2327588826,0.0890912831,-0.1985628068,-0.2653271735,-0.0953152224,-0.050444822,0.1888131201,0.1558446825,0.1249964476,-0.1226090938,-0.0470618844,-0.0145681677,-0.05841185,0.266343677,-0.1032904223,-0.1167668715,0.0421323374,-0.018126853,0.0552638069,-0.0439021498,0.0157966509,-0.068201796,0.0290000431,0.0055230993,0.4287122488,0.2022264987,-0.6071093798
